Pays,Région,Localité,Latitude,Longitude,,,,,,
TCHAD, Mandoul , Péni , 17.18890 , 8.46450 ,,,,,,
TCHAD, Mandoul , Péni , 17.18888 , 8.46453 ,,,,,,
TCHAD, Mandoul , Péni , 17.18885 , 8.46457 ,,,,,,
TCHAD, Mandoul , Péni , 17.18887 , 8.46460 ,,,,,,
TCHAD, Mandoul , Péni , 17.18856 , 8.46429 ,,,,,,
TCHAD, Mandoul , Péni , 17.18849 , 8.46416 ,,,,,,
TCHAD, Mandoul , Péni , 17.18544 , 8.46416 ,,,,,,
TCHAD, Mandoul , Péni , 17.18833 , 8.46423 ,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53490,8.36860,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53511,8.36856,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53514,8.36853,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53527,8.36853,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53536,8.36855,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53535,8.36818,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53530,8.36809,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53530,8.36808,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53535,8.38811,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53532,8.36803,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53526,8.36785,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53522,8.36795,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53516,8.38816,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53481,8.36835,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53478,8.36839,,,,,,
TCHAD,Logone Oriental,Mayongo,16.53460,8.36844,,,,,,
TCHAD,Logone Occidental,Kana,15.54137,8.39436,,,,,,
TCHAD,Logone Occidental,Kana,15.54143,8.39436,,,,,,
TCHAD,Logone Occidental,Kana,15.54158,8.39424,,,,,,
TCHAD,Logone Occidental,Kana,15.54157,8.39426,,,,,,
TCHAD,Logone Occidental,Kana,15.54167,8.39419,,,,,,
TCHAD,Logone Occidental,Kana,15.54169,8.39422,,,,,,
TCHAD,Logone Occidental,Kana,15.54170,8.39417,,,,,,
TCHAD,Logone Occidental,Kana,15.54172,8.39411,,,,,,
TCHAD,Logone Occidental,Kana,15.54171,8.39404,,,,,,
TCHAD,Logone Occidental,Kana,15.54184,8.39406,,,,,,
TCHAD,Logone Occidental,Kana,15.54190,8.39395,,,,,,
TCHAD,Logone Occidental,Kana,15.54173,8.39388,,,,,,
TCHAD,Logone Occidental,Kana,15.54166,8.39491,,,,,,
TCHAD,Logone Occidental,Kana,15.54141,8.39400,,,,,,
TCHAD,Logone Occidental,Kana,15.54145,8.39394,,,,,,
TCHAD,Logone Occidental,Kana,15.54141,8.39391,,,,,,
TCHAD,Logone Occidental,Kana,15.54142,8.39387,,,,,,
TCHAD,Logone Occidental,Kana,15.54137,8.39386,,,,,,
TCHAD,Logone Occidental,Kana,15.54137,8.39393,,,,,,
TCHAD,Tandjilé,Tchoua,16.01171,9.19647,,,,,,
TCHAD,Tandjilé,Tchoua,16.01196,9.19599,,,,,,
TCHAD,Tandjilé,Tchoua,16.01177,9.19603,,,,,,
TCHAD,Tandjilé,Tchoua,16.01176,9.19601,,,,,,
TCHAD,Tandjilé,Tchoua,16.01169,9.19608,,,,,,
TCHAD,Tandjilé,Tchoua,16.01162,9.19650,,,,,,
TCHAD,Tandjilé,Tchoua,16.01152,9.19587,,,,,,
TCHAD,Tandjilé,Tchoua,16.01145,9.19586,,,,,,
TCHAD,Tandjilé,Tchoua,16.01129,9.19581,,,,,,
TCHAD,Tandjilé,Tchoua,16.01130,9.19582,,,,,,
TCHAD,Tandjilé,Tchoua,16.01133,9.19484,,,,,,
TCHAD,Tandjilé,Tchoua,16.01130,9.19600,,,,,,
TCHAD,Tandjilé,Tchoua,16.01125,9.19607,,,,,,
TCHAD,Tandjilé,Tchoua,16.01139,9.19612,,,,,,
TCHAD,Tandjilé,Tchoua,16.01146,9.19606,,,,,,
TCHAD,Tandjilé,Tchoua,16.01155,9.19603,,,,,,
TCHAD,Tandjilé,Tchoua,16.01161,9.19605,,,,,,
TCHAD,Tandjilé,Tchoua,16.01158,9.19610,,,,,,
TCHAD,Tandjilé,Tchoua,16.01162,9.19622,,,,,,
TCHAD,Tandjilé,Tchoua,16.01158,9.19631,,,,,,
TCHAD,Tandjilé,Tchoua,16.01174,9.19634,,,,,,
TCHAD,Mandoul,Kemkian,17.26042,8.56102,,,,,,
TCHAD,Mandoul,Kemkian,17.26036,8.56100,,,,,,
TCHAD,Mandoul,Kemkian,17.26032,8.56098,,,,,,
TCHAD,Mandoul,Kemkian,17.26028,8.56100,,,,,,
TCHAD,Mandoul,Kemkian,17.26037,8.56109,,,,,,
TCHAD,Mandoul,Kemkian,17.25940,8.56122,,,,,,
TCHAD,Mandoul,Kemkian,17.26032,8.56126,,,,,,
TCHAD,Mandoul,Kemkian,17.26028,8.56130,,,,,,
TCHAD,Mandoul,Kemkian,17.26035,8.56137,,,,,,
TCHAD,Mandoul,Kemkian,17.26006,8.56122,,,,,,
TCHAD,Mandoul,Kemkian,17.26006,8.56155,,,,,,
TCHAD,Mandoul,Kemkian,17.26025,8.56071,,,,,,
TCHAD,Mandoul,Kemkian,17.25976,8.56187,,,,,,
TCHAD,Mandoul,Kemkian,17.25944,8.56162,,,,,,
TCHAD,Mandoul,Kemkian,17.25965,8.56190,,,,,,
TCHAD,Mandoul,Kemkian,17.25950,8.56127,,,,,,
TCHAD,Mandoul,Kemkian,17.25945,8.56094,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34143,8.55145,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34143,8.55485,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34133,8.55466,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34139,8.55469,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34128,8.55460,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34128,8.55460,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34122,8.55464,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34121,8.55467,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34120,8.55464,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34119,8.55464,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34114,8.55467,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34113,8.55768,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34113,8.55473,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34132,8.55427,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34116,8.55475,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34122,8.55478,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34122,8.55485,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34113,8.55477,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34107,8.55473,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34101,8.55480,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34084,8.55469,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34090,8.55432,,,,,,
TCHAD,Moyen-Chari,Kagala,18.34093,8.55430,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.37053,10.12490,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.37085,10.12499,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.3717,10.12525,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45871,10.11850,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45862,10.11846,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.4603,10.12636,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.46305,10.12776,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.5084,10.19812,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.50962,10.19843,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.39601,10.11851,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.39559,10.11796,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.39615,10.11902,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.39545,10.49023,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.3962,10.11950,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.39721,10.11947,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45217,10.12238,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45187,10.12212,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45279,10.12254,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45286,10.12233,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45261,10.12173,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45277,10.12139,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45483,10.12156,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45479,10.12090,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.45384,10.11938,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.44488,10.06613,,,,,,
CAMEROUN,Extreme-Nord,mayo kani,14.44478,10.06566,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.22112,10.29703,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.22276,10.29656,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.22361,10.29625,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.22246,10.29546,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.22587,10.29691,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23221,10.30177,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23343,10.30101,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.2362,10.30316,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23601,10.30375,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23601,10.30555,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23642,10.3059,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23844,10.3066,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23889,10.36666,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23864,10.36672,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.2394,10.36558,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23214,10.370825,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23379,10.37072,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23784,10.36254,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23258,10.37002,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.25588,10.364095,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.255275,10.36452,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.25516,10.36426,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.25516,10.36376,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.255473,10.36381,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.25528,10.36427,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23845,10.36671,,,,,,
CAMEROUN,Extreme-Nord,mayo danay,15.23885,10.3661,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.87959,10.81825,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.761,10.74318,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76214,10.74297,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76124,10.74515,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76026,10.74575,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.75956,10.74668,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.75923,10.74787,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.7608,10.74713,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76112,10.74662,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.7629,10.74803,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76533,10.74796,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.7651,10.74721,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76469,10.74582,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.76625,10.74429,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.77702,10.7412,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.77803,10.73768,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.77783,10.73908,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.77859,10.75307,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.78084,10.753,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.78346,10.75224,,,,,,
CAMEROUN,Extreme-Nord,mayo tsanaga,13.78524,10.75145,,,,,,
CAMEROUN,NORD,Bascheo,13.340133,9.62674,,,,,,
CAMEROUN,NORD,Bascheo,13.34031,9.62702,,,,,,
CAMEROUN,NORD,Bascheo,13.34845,9.62741,,,,,,
CAMEROUN,NORD,Bascheo,13.34063,9.62786,,,,,,
CAMEROUN,NORD,Bascheo,13.34063,9.62786,,,,,,
CAMEROUN,NORD,Bascheo,13.34017,9.6279,,,,,,
CAMEROUN,NORD,Bascheo,13.3395,9.62771,,,,,,
CAMEROUN,NORD,Bascheo,13.3395,9.62771,,,,,,
CAMEROUN,NORD,Bascheo,13.3395,9.62771,,,,,,
CAMEROUN,NORD,Bascheo,13.33915,9.62797,,,,,,
CAMEROUN,NORD,Bascheo,13.3388,9.6283,,,,,,
CAMEROUN,NORD,Bascheo,13.34095,9.62604,,,,,,
CAMEROUN,NORD,Bascheo,13.33789,9.62832,,,,,,
CAMEROUN,NORD,Bascheo,13.33789,9.62832,,,,,,
CAMEROUN,NORD,Bascheo,13.3375,9.62825,,,,,,
CAMEROUN,NORD,Bascheo,13.336902,9.62831,,,,,,
CAMEROUN,NORD,Bascheo,13.33666,9.62831,,,,,,
CAMEROUN,NORD,Bascheo,13.33691,9.62778,,,,,,
CAMEROUN,NORD,Bascheo,13.33714,9.62778,,,,,,
CAMEROUN,NORD,Bascheo,13.33743,9.62717,,,,,,
CAMEROUN,NORD,Bascheo,13.338588,9.62655,,,,,,
CAMEROUN,NORD,Bascheo,13.38027,9.64908,,,,,,
CAMEROUN,NORD,Bascheo,13.38069,9.64946,,,,,,
CAMEROUN,NORD,Bascheo,13.38015,9.65146,,,,,,
CAMEROUN,NORD,Bascheo,13.38217,9.6504,,,,,,
CAMEROUN,NORD,Bascheo,13.38208,9.64986,,,,,,
CAMEROUN,NORD,Bascheo,13.37776,9.648375,,,,,,
CAMEROUN,NORD,Bascheo,13.381698,9.653119,,,,,,
CAMEROUN,NORD,Bascheo,13.3785,9.6522,,,,,,
CAMEROUN,NORD,Bascheo,13.38104,9.65482,,,,,,
CAMEROUN,NORD,Bascheo,13.38389,9.65502,,,,,,
CAMEROUN,NORD,Bascheo,13.38467,9.65286,,,,,,
CAMEROUN,NORD,Bascheo,13.38621,9.65248,,,,,,
CAMEROUN,NORD,Bascheo,13.38611,9.65081,,,,,,
CAMEROUN,NORD,Bascheo,13.38504,9.64841,,,,,,
CAMEROUN,NORD,Bascheo,13.38443,9.64807,,,,,,
CAMEROUN,NORD,Bascheo,13.383456,9.68716,,,,,,
CAMEROUN,NORD,Bascheo,13.383158,9.64786,,,,,,
CAMEROUN,NORD,Tcheboa,13.19531,9.00996,,,,,,
CAMEROUN,NORD,Tcheboa,13.19533,9.00913,,,,,,
CAMEROUN,NORD,Tcheboa,13.19467,9.00809,,,,,,
CAMEROUN,NORD,Tcheboa,13.19530,9.00769,,,,,,
CAMEROUN,NORD,Tcheboa,13.19670,9.00856,,,,,,
CAMEROUN,NORD,Tcheboa,13.19535,9.00899,,,,,,
CAMEROUN,NORD,Tcheboa,13.19564,9.00935,,,,,,
CAMEROUN,NORD,Tcheboa,13.19530,9.00966,,,,,,
CAMEROUN,NORD,Tcheboa,13.19571,9.01013,,,,,,
CAMEROUN,NORD,Tcheboa,13.19653,9.01035,,,,,,
CAMEROUN,NORD,Tcheboa,13.19612,9.01072,,,,,,
CAMEROUN,NORD,Tcheboa,13.19582,9.01106,,,,,,
CAMEROUN,NORD,Tcheboa,13.19518,9.01088,,,,,,
CAMEROUN,NORD,Tcheboa,13.19445,9.01125,,,,,,
CAMEROUN,NORD,Tcheboa,13.19459,9.01125,,,,,,
CAMEROUN,NORD,Tcheboa,13.19381,9.01171,,,,,,
CAMEROUN,NORD,Tcheboa,13.20542,9.00698,,,,,,
CAMEROUN,NORD,Tcheboa,13.20615,9.00705,,,,,,
CAMEROUN,NORD,Tcheboa,13.20717,9.00839,,,,,,
CAMEROUN,NORD,Tcheboa,13.20868,9.00902,,,,,,
CAMEROUN,NORD,Tcheboa,13.20810,9.00962,,,,,,
CAMEROUN,NORD,Tcheboa,13.20745,9.00935,,,,,,
CAMEROUN,NORD,Tcheboa,13.20660,9.00937,,,,,,
CAMEROUN,NORD,Tcheboa,13.20431,9.00981,,,,,,
CAMEROUN,NORD,Tcheboa,13.20360,9.00966,,,,,,
CAMEROUN,NORD,Tcheboa,13.20376,9.00919,,,,,,
CAMEROUN,NORD,Tcheboa,13.20413,9.00863,,,,,,
CAMEROUN,NORD,Tcheboa,13.20453,9.00754,,,,,,
CAMEROUN,NORD,Tcheboa,13.20442,9.00637,,,,,,
CAMEROUN,NORD,Tcheboa,13.20541,9.00622,,,,,,
CAMEROUN,NORD,Tcheboa,13.20390,9.00713,,,,,,
CAMEROUN,NORD,Tcheboa,13.20337,9.00674,,,,,,
CAMEROUN,NORD,Tcheboa,13.20366,9.00598,,,,,,
CAMEROUN,NORD,Tcheboa,13.20317,9.00499,,,,,,
CAMEROUN,NORD,Tcheboa,13.06808,9.08597,,,,,,
CAMEROUN,NORD,Ngong,09°00.502’,013°27.955’,,,,,,
CAMEROUN,NORD,Ngong,09°00.430’,013°27.937’,,,,,,
CAMEROUN,NORD,Ngong,09°00.435’,013°27.867’,,,,,,
CAMEROUN,NORD,Ngong,09°00.447’,013°27.837’,,,,,,
CAMEROUN,NORD,Ngong,09°00.468’,013°27.807’,,,,,,
CAMEROUN,NORD,Ngong,09°00.413’,013°27.752’,,,,,,
CAMEROUN,NORD,Ngong,09°00.421’,013°27.696’,,,,,,
CAMEROUN,NORD,Ngong,09°00.388’,013°27.667’,,,,,,
CAMEROUN,NORD,Ngong,09°00.388’,013°27.707’,,,,,,
CAMEROUN,NORD,Ngong,09°00.229’,013°27.733’,,,,,,
CAMEROUN,NORD,Ngong,09°00.151’,013°28.340’,,,,,,
CAMEROUN,NORD,Ngong,09°00.122’,013°28.345’,,,,,,
CAMEROUN,NORD,Ngong,09°00.150’,013°28.387’,,,,,,
CAMEROUN,NORD,Ngong,09°00.141’,013°28.415’,,,,,,
CAMEROUN,NORD,Ngong,09°00.044’,013°28.445’,,,,,,
CAMEROUN,NORD,Ngong,08°59.974’,013°28.421’,,,,,,
CAMEROUN,NORD,Ngong,08°59.939’,013°28.373’,,,,,,
CAMEROUN,NORD,Ngong,08°59.914’,013°28.377’,,,,,,
CAMEROUN,NORD,Ngong,08°59.909’,013°28.348’,,,,,,
CAMEROUN,NORD,Ngong,08°59.880’,013°28.367’,,,,,,
CAMEROUN,NORD,Ngong,08°59.795’,013°28.431’,,,,,,
CAMEROUN,NORD,Ngong,08°59.754’,013°28.437’,,,,,,
CAMEROUN,NORD,Ngong,08°59.738’,013°28.341’,,,,,,
CAMEROUN,NORD,Ngong,09°00.028’,013°28.148’,,,,,,
CAMEROUN,NORD,Ngong,09°00.251’,013°28.330’,,,,,,
CAMEROUN,NORD,Ngong,09°00.281’,013°28.347’,,,,,,
CAMEROUN,NORD,Ngong,09°00.329’,013°28.396’,,,,,,
CAMEROUN,NORD,Ngong,09°00.289’,013°28.323’,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54597,013.56045,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54233,013.55998,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54289,013.55960,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54510,013.55961,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54509,013.55922,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54552,013.55924,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54445,013.55864,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54399,013.55881,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54317,013.55874,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54281,013.55895,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54508,013.55805,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54505,013.55727,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54414,013.55718,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54401,013.55684,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.54264,013.55589,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61093,013.54568,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61103,013.54599,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61039,013.54604,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61064,013.54422,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61091,013.54397,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61057,013.54222,,,,,,
CAMEROUN,Adamaoua,Tchabal,07.61023,013.54305,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63139,013.55318,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63104,013.55336,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63190,013.55286,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63183,013.55246,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63187,013.55228,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63215,013.55229,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63200,013.55194,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63667,013.55099,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63719,013.55123,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63711,013.55210,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63739,013.55267,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63798,013.55073,,,,,,
CAMEROUN,Adamaoua,Falaise,07.63948,013.55034,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64040,013.54988,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64019,013.54987,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64158,013.54951,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64212,013.54936,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64527,013.54799,,,,,,
CAMEROUN,Adamaoua,Falaise,07.64554,013.54554,,,,,,
CAMEROUN,Adamaoua,Tison,07.25522,013.57541,,,,,,
CAMEROUN,Adamaoua,Tison,07.25483,013.57728,,,,,,
CAMEROUN,Adamaoua,Tison,07.25592,013.57794,,,,,,
CAMEROUN,Adamaoua,Tison,07.25669,013.57684,,,,,,
CAMEROUN,Adamaoua,Tison,07.25438,013.57811,,,,,,
CAMEROUN,Adamaoua,Tison,07.25390,013.57885,,,,,,
CAMEROUN,Adamaoua,Tison,07.25330,013.57897,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.088,10°44.280,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.068,10°44.296,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.026,10°44.322,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.026,10°44.322,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.220,10°44.353,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.014,10°44.376,,,,,,
CAMEROUN,Ouest,Koutaba,5°36.972,10°44.475',,,,,,
CAMEROUN,Ouest,Koutaba,5°36.879',10°44.489',,,,,,
CAMEROUN,Ouest,Koutaba,5°37.304,10°44.007',,,,,,
CAMEROUN,Ouest,Koutaba,5°37.426',10°43.888',,,,,,
